SKU (Item),Name,Category,Width (cm),Length (cm),Height (cm),Net Weight (kg),Gross Weight (kg),CBM,Product Type,Stacking Limit,Side Box Weight,Box_42x46x68_Layers,Box_42x46x68_PerLayer,Box_42x46x68_Total,Box_47x66x68_Layers,Box_47x66x68_PerLayer,Box_47x66x68_Total,Box_57x64x84_Layers,Box_57x64x84_PerLayer,Box_57x64x84_Total,Box_68x74x86_Layers,Box_68x74x86_PerLayer,Box_68x74x86_Total,Box_70x100x90_Layers,Box_70x100x90_PerLayer,Box_70x100x90_Total,Pallet_80x120x65_Layers,Pallet_80x120x65_PerLayer,Pallet_80x120x65_Total,Pallet_80x120x90_Layers,Pallet_80x120x90_PerLayer,Pallet_80x120x90_Total,Pallet_80x120x115_Layers,Pallet_80x120x115_PerLayer,Pallet_80x120x115_Total,Pallet_110x110x65_Layers,Pallet_110x110x65_PerLayer,Pallet_110x110x65_Total,Pallet_110x110x90_Layers,Pallet_110x110x90_PerLayer,Pallet_110x110x90_Total,Pallet_110x110x115_Layers,Pallet_110x110x115_PerLayer,Pallet_110x110x115_Total,RTN_Layers,RTN_PerLayer,RTN_Total,Warp_Required
FRN5.5AQ1M-4E,Inverter-FRN5.5AQ1M-4E,Inverters,23.5,55,34.5,10.4860,10.4860,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN55AQ1M-4E,Inverter-FRN55AQ1M-4E,Inverters,41,88,50,45.0000,50.0000,0.180,Carton Case,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN5.5AR1K-4DSL,Inverter-FRN5.5AR1K-4DSL,Inverters,23.5,55,34.5,10.8950,10.8950,0.045,Carton,,,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN5.5AR1L-2J,Inverter-FRN5.5AR1L-2J,Inverters,31,68,37,18.5000,18.5000,0.078,Carton,,20,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,8,,,,,,8,FALSE
FRN5.5AR1L-4A,Inverter-FRN5.5AR1L-4A,Inverters,23.5,55,34.5,10.5450,10.5450,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN55AR1L-4A,Inverter-FRN55AR1L-4A,Inverters,41,88,50,46.0000,51.0000,0.180,Carton Case,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN5.5AR1L-4E,Inverter-FRN5.5AR1L-4E,Inverters,23.5,55,34.5,10.6110,10.6110,0.045,Carton,3,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN55AR1L-4E,Inverter-FRN55AR1L-4E,Inverters,41,88,50,46.0000,51.0000,0.180,Carton Case,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
FRN5.5AR1L-4J,Inverter-FRN5.5AR1L-4J,Inverters,23.5,55,34.5,11.0000,11.0000,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN55AR1L-4J,Inverter-FRN55AR1L-4J,Inverters,41,88,50,46.0000,51.0000,0.180,Carton Case,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
