SKU (Item),Name,Category,Width (cm),Length (cm),Height (cm),Net Weight (kg),Gross Weight (kg),CBM,Product Type,Stacking Limit,Side Box Weight,Box_42x46x68_Layers,Box_42x46x68_PerLayer,Box_42x46x68_Total,Box_47x66x68_Layers,Box_47x66x68_PerLayer,Box_47x66x68_Total,Box_57x64x84_Layers,Box_57x64x84_PerLayer,Box_57x64x84_Total,Box_68x74x86_Layers,Box_68x74x86_PerLayer,Box_68x74x86_Total,Box_70x100x90_Layers,Box_70x100x90_PerLayer,Box_70x100x90_Total,Pallet_80x120x65_Layers,Pallet_80x120x65_PerLayer,Pallet_80x120x65_Total,Pallet_80x120x90_Layers,Pallet_80x120x90_PerLayer,Pallet_80x120x90_Total,Pallet_80x120x115_Layers,Pallet_80x120x115_PerLayer,Pallet_80x120x115_Total,Pallet_110x110x65_Layers,Pallet_110x110x65_PerLayer,Pallet_110x110x65_Total,Pallet_110x110x90_Layers,Pallet_110x110x90_PerLayer,Pallet_110x110x90_Total,Pallet_110x110x115_Layers,Pallet_110x110x115_PerLayer,Pallet_110x110x115_Total,RTN_Layers,RTN_PerLayer,RTN_Total,Warp_Required
FRN0020E2S-2GB,Inverter-FRN0020E2S-2GB,Inverters,16.5,22,22,2.1970,2.1970,0.008,Carton,6,2.3,,,8,,,12,,,27,,,39,,,54,,,,,,72,,,96,,,,,,58,,,116,,,96,FALSE
FRN0020E2S-2GBBM1,Inverter-FRN0020E2S-2GBBM1,Inverters,16.5,22,22,2.1980,2.1980,0.008,Carton,,,,,8,,,12,,,27,,,39,,,54,,,,,,72,,,96,,,,,,58,,,116,,,96,FALSE
FRN0020E3S-2G,Inverter-FRN0020E3S-2G,Inverters,16.5,22,22,2.0500,2.0500,0.008,Carton,,,,,8,,,12,,,27,,,39,,,54,,,,,,72,,,96,,,,,,58,,,116,,,96,FALSE
FRN0022E2E-4E,Inverter-FRN0022E2E-4E,Inverters,23,42,30,6.3410,6.3410,0.029,Carton,5,7.8,,,1,,,2,,,4,,,8,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0022E2S-4A,Inverter-FRN0022E2S-4A,Inverters,25.5,30,25.5,4.4000,4.4000,0.020,Carton,,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0022E2S-4E,Inverter-FRN0022E2S-4E,Inverters,25.5,30,25.5,4.2640,4.2640,0.020,Carton,5,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0022E2S-4GB,Inverter-FRN0022E2S-4GB,Inverters,25.5,30,25.5,4.2380,4.2380,0.020,Carton,5,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0022E2S-4GBBM1,Inverter-FRN0022E2S-4GBBM1,Inverters,25.5,30,25.5,4.2740,4.2740,0.020,Carton,,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0022E3E-4G,Inverter-FRN0022E3E-4G,Inverters,25,36,30,6.2550,6.2550,0.027,Carton Case,,,,,1,,,2,,,4,,,4,,,12,,,,,,18,,,27,,,,,,20,,,30,,,30,FALSE
FRN0022E3S-4G,Inverter-FRN0022E3S-4G,Inverters,25.5,30,25.5,4.3680,4.3680,0.020,Carton,,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0023F2E-4G,Inverter-FRN0023F2E-4G,Inverters,23,42,30,6.4720,6.4720,0.029,Carton,5,7.8,,,1,,,2,,,4,,,8,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0023G2E-4G,Inverter-FRN0023G2E-4G,Inverters,30,34,31,7.6640,7.6640,0.032,Carton,6,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0023G2E-4GAP,Inverter-FRN0023G2E-4GAP,Inverters,30,34,31,7.6560,7.6560,0.032,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0023G2S-4G,Inverter-FRN0023G2S-4G,Inverters,30,34,31,6.9510,6.9510,0.032,Carton,6,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0024C2E-4E,Inverter-FRN0024C2E-4E,Inverters,27,51,33.5,8.8670,8.8670,0.046,Carton,4,8.8,,,,,,1,,,4,,,4,,,6,,,6,,,12,,,18,,,8,,,16,,,24,,,12,FALSE
FRN0024C2S-4A,Inverter-FRN0024C2S-4A,Inverters,30,34,30,5.9170,5.9170,0.031,Carton,,6.5,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0024C2S-4A A,Inverter-FRN0024C2S-4A A,Inverters,30,34,30,5.9100,5.9100,0.031,Carton,,6.5,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0024C2S-4E,Inverter-FRN0024C2S-4E,Inverters,30,34,30,5.9110,5.9110,0.031,Carton,6,6.5,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0024C2S-4U,Inverter-FRN0024C2S-4U,Inverters,30,34,30,5.9100,5.9100,0.031,Carton,,0,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0025C2S-2A,Inverter-FRN0025C2S-2A,Inverters,25.5,30,25.5,4.2810,4.2810,0.020,Carton,,4.1,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0025C2S-2U,Inverter-FRN0025C2S-2U,Inverters,25.5,30,25.5,4.2860,4.2860,0.020,Carton,,0,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0025LM2A-4E,Inverter-FRN0025LM2A-4E,Inverters,24,45,30,8.0000,8.0000,0.032,Carton,,7.4,,,1,,,2,,,4,,,6,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0025LM2A-4ESD,Inverter-FRN0025LM2A-4ESD,Inverters,24,45,30,7.7470,7.7470,0.032,Carton,,,,,1,,,2,,,4,,,6,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0025LM2C-4A,Inverter-FRN0025LM2C-4A,Inverters,22,36,31,5.3450,5.3450,0.025,Carton,4,,,,2,,,3,,,6,,,12,,,16,,,,,,22,,,33,,,,,,26,,,39,,,36,FALSE
FRN0025LM2C-4E,Inverter-FRN0025LM2C-4E,Inverters,22,36,31,5.3460,5.3460,0.025,Carton,,,,,2,,,3,,,6,,,12,,,16,,,,,,22,,,33,,,,,,26,,,39,,,36,FALSE
FRN0029E2E-4E,Inverter-FRN0029E2E-4E,Inverters,23,42,30,6.3930,6.3930,0.029,Carton,5,7.8,,,1,,,2,,,4,,,8,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0029E2S-4A,Inverter-FRN0029E2S-4A,Inverters,25.5,30,25.5,4.4700,4.4700,0.020,Carton,,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0029E2S-4E,Inverter-FRN0029E2S-4E,Inverters,25.5,30,25.5,4.3130,4.3130,0.020,Carton,5,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0029E2S-4GB,Inverter-FRN0029E2S-4GB,Inverters,25.5,30,25.5,4.3100,4.3100,0.020,Carton,5,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0029E2S-4GBBM1,Inverter-FRN0029E2S-4GBBM1,Inverters,25.5,30,25.5,4.3350,4.3350,0.020,Carton,,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0029E2S-4U,Inverter-FRN0029E2S-4U,Inverters,25.5,30,25.5,4.4000,4.4000,0.020,Carton,,0,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0029E3E-4G,Inverter-FRN0029E3E-4G,Inverters,25,36,30,6.2000,6.2000,0.027,Carton,,,,,1,,,2,,,4,,,4,,,12,,,,,,18,,,27,,,,,,20,,,30,,,30,FALSE
FRN0029E3S-4G,Inverter-FRN0029E3S-4G,Inverters,25.5,30,25.5,4.4460,4.4460,0.020,Carton Case,,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN002AR1L-2U,Inverter-FRN002AR1L-2U,Inverters,23.5,55,34.5,10.5300,10.5300,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN002AR1L-4U,Inverter-FRN002AR1L-4U,Inverters,23.5,55,34.5,9.8350,9.8350,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN002AR1M-2U,Inverter-FRN002AR1M-2U,Inverters,23.5,55,34.5,10.5600,10.5600,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN002AR1M-4U,Inverter-FRN002AR1M-4U,Inverters,23.5,55,34.5,9.8400,9.8400,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN002E1S-2U,Inverter-FRN002E1S-2U,Inverters,14.5,19.5,20.5,2.1000,2.1000,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN002E1S-4U,Inverter-FRN002E1S-4U,Inverters,14.5,19.5,20.5,2.1600,2.1600,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN002E1S-7U,Inverter-FRN002E1S-7U,Inverters,14.5,19.5,24,2.5800,2.5800,0.007,Carton,,2,,,12,,,18,,,22,,,34,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,105,FALSE
FRN002F1S-2DY,Inverter-FRN002F1S-2DY,Inverters,21.5,32,23,4.3400,4.3400,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN002F1S-2U,Inverter-FRN002F1S-2U,Inverters,21.5,32,23,4.3000,4.3000,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN002F1S-4DY,Inverter-FRN002F1S-4DY,Inverters,21.5,32,23,4.1700,4.1700,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN002F1S-4U,Inverter-FRN002F1S-4U,Inverters,21.5,32,23,4.1500,4.1500,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN002G1S-2U,Inverter-FRN002G1S-2U,Inverters,23.5,33,23.5,4.3960,4.3960,0.018,Carton,,3.6,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
FRN002G1S-4U,Inverter-FRN002G1S-4U,Inverters,23.5,33,23.5,4.3600,4.3600,0.018,Carton,,3.4,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
FRN002G1S-4U P,Inverter-FRN002G1S-4U P,Inverters,23.5,33,23.5,4.4200,4.4200,0.018,Carton,,,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
FRN0030C2E-4E,Inverter-FRN0030C2E-4E,Inverters,27,51,33.5,9.0230,9.0230,0.046,Carton,,8.8,,,,,,1,,,4,,,4,,,6,,,6,,,12,,,18,,,8,,,16,,,24,,,12,FALSE
FRN0030C2S-4A,Inverter-FRN0030C2S-4A,Inverters,30,34,30,6.0710,6.0710,0.031,Carton,,6.5,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0030C2S-4A A,Inverter-FRN0030C2S-4A A,Inverters,30,34,30,6.0620,6.0620,0.031,Carton,,6.5,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0030C2S-4E,Inverter-FRN0030C2S-4E,Inverters,30,34,30,6.0940,6.0940,0.031,Carton,6,6.5,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0030C2S-4U,Inverter-FRN0030C2S-4U,Inverters,30,34,30,6.1200,6.1200,0.031,Carton,,0,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0030E2S-2A,Inverter-FRN0030E2S-2A,Inverters,25.5,30,25.5,4.3810,4.3810,0.020,Carton,,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0030E2S-2GB,Inverter-FRN0030E2S-2GB,Inverters,25.5,30,25.5,4.3630,4.3630,0.020,Carton,5,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0030E2S-2GBBM1,Inverter-FRN0030E2S-2GBBM1,Inverters,25.5,30,25.5,4.3480,4.3480,0.020,Carton,,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0030E2S-2U,Inverter-FRN0030E2S-2U,Inverters,25.5,30,25.5,4.5100,4.5100,0.020,Carton,,0,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0030E3S-2G,Inverter-FRN0030E3S-2G,Inverters,25.5,30,25.5,4.5000,4.5000,0.020,Carton,,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0031F2E-4G,Inverter-FRN0031F2E-4G,Inverters,27,51,33.5,8.9800,8.9800,0.046,Carton,4,12.3,,,,,,1,,,4,,,4,,,6,,,6,,,12,,,18,,,8,,,16,,,24,,,12,FALSE
FRN0031G2E-4G,Inverter-FRN0031G2E-4G,Inverters,30,34,31,7.3060,7.3060,0.032,Carton,6,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0031G2S-4G,Inverter-FRN0031G2S-4G,Inverters,30,34,31,6.6510,6.6510,0.032,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0032G2S-2G,Inverter-FRN0032G2S-2G,Inverters,30,34,31,6.8120,6.8120,0.032,Carton,6,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0032G2S-2GU,Inverter-FRN0032G2S-2GU,Inverters,30,34,31,6.8500,6.8500,0.032,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0032LM2A-4E,Inverter-FRN0032LM2A-4E,Inverters,24,45,30,7.6000,7.6000,0.032,Carton,,7.6,,,1,,,2,,,4,,,6,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0032LM2A-4ESD,Inverter-FRN0032LM2A-4ESD,Inverters,24,45,30,7.7600,7.7600,0.032,Carton,,,,,1,,,2,,,4,,,6,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0032LM2C-4A,Inverter-FRN0032LM2C-4A,Inverters,24,45,30,7.2480,7.2480,0.032,Carton,4,,,,1,,,2,,,4,,,6,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0032LM2C-4E,Inverter-FRN0032LM2C-4E,Inverters,24,45,30,7.1230,7.1230,0.032,Carton,,,,,1,,,2,,,4,,,6,,,12,,,,,,14,,,21,,,,,,16,,,24,,,24,FALSE
FRN0033C2S-2A,Inverter-FRN0033C2S-2A,Inverters,25.5,30,25.5,4.3520,4.3520,0.020,Carton,,4.1,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0033C2S-2U,Inverter-FRN0033C2S-2U,Inverters,25.5,30,25.5,4.3640,4.3640,0.020,Carton,,0,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0035G2E-4G,Inverter-FRN0035G2E-4G,Inverters,30,34,31,7.3750,7.3750,0.032,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0035G2E-4GAP,Inverter-FRN0035G2E-4GAP,Inverters,30,34,31,7.3730,7.3730,0.032,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0035G2S-4G,Inverter-FRN0035G2S-4G,Inverters,30,34,31,6.6640,6.6640,0.032,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0035G2S-4GU,Inverter-FRN0035G2S-4GU,Inverters,30,34,31,6.7700,6.7700,0.032,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0037E2E-4E,Inverter-FRN0037E2E-4E,Inverters,27,51,33.5,9.4290,9.4290,0.046,Carton,4,12.3,,,,,,1,,,4,,,4,,,6,,,6,,,12,,,18,,,8,,,16,,,24,,,12,FALSE
FRN0037E2S-4A,Inverter-FRN0037E2S-4A,Inverters,30,34,30,5.9500,5.9500,0.031,Carton,,9.9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0037E2S-4E,Inverter-FRN0037E2S-4E,Inverters,30,34,30,6.0110,6.0110,0.031,Carton,6,9.9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0037E2S-4GB,Inverter-FRN0037E2S-4GB,Inverters,30,34,30,5.9810,5.9810,0.031,Carton,6,9.9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0037E2S-4GBBM1,Inverter-FRN0037E2S-4GBBM1,Inverters,30,34,30,6.0150,6.0150,0.031,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0037E3E-4G,Inverter-FRN0037E3E-4G,Inverters,30,50,36,9.2900,9.2900,0.054,Carton,,,,,,,,1,,,2,,,4,,,6,,,6,,,12,,,,,,6,,,12,,,,,,12,FALSE
FRN0037E3S-4G,Inverter-FRN0037E3S-4G,Inverters,30,34,30,6.2410,6.2410,0.031,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0038F2E-4G,Inverter-FRN0038F2E-4G,Inverters,27,51,33.5,9.1760,9.1760,0.046,Carton,5,12.3,,,,,,1,,,4,,,4,,,6,,,6,,,12,,,18,,,8,,,16,,,24,,,12,FALSE
FRN0038G2E-4G,Inverter-FRN0038G2E-4G,Inverters,32.5,47,30,12.3100,12.2500,0.046,Carton,5,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0038G2S-4G,Inverter-FRN0038G2S-4G,Inverters,32.5,47,30,11.3420,11.3420,0.046,Carton,5,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0039LM2A-4E,Inverter-FRN0039LM2A-4E,Inverters,32.5,47,30,12.0000,12.0000,0.046,Carton,,12.3,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0039LM2A-4ESD,Inverter-FRN0039LM2A-4ESD,Inverters,32.5,47,30,12.1800,12.1800,0.046,Carton,,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0039LM2C-4A,Inverter-FRN0039LM2C-4A,Inverters,32.5,47,30,11.0330,11.0330,0.046,Carton,,9.5,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN003AR1L-2U,Inverter-FRN003AR1L-2U,Inverters,23.5,55,34.5,10.5680,10.5680,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN003AR1L-4U,Inverter-FRN003AR1L-4U,Inverters,23.5,55,34.5,10.3330,10.3330,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN003AR1M-2U,Inverter-FRN003AR1M-2U,Inverters,23.5,55,34.5,10.5620,10.5620,0.045,Carton,,10.8,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN003AR1M-4U,Inverter-FRN003AR1M-4U,Inverters,23.5,55,34.5,10.3050,10.3050,0.045,Carton,,11,,,,,,2,,,3,,,6,,,8,,,,,,14,,,,,,,,,16,,,,,,16,FALSE
FRN003E1S-2U,Inverter-FRN003E1S-2U,Inverters,14.5,19.5,20.5,2.1600,2.1600,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN003E1S-4U,Inverter-FRN003E1S-4U,Inverters,14.5,19.5,20.5,2.1600,2.1600,0.006,Carton,,2,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN003E1S-7U,Inverter-FRN003E1S-7U,Inverters,14.5,19.5,20.5,No Data,No Data,0.006,Carton,,3,,,12,,,18,,,33,,,51,,,66,,,,,,96,,,128,,,80,,,120,,,160,,,140,FALSE
FRN003F1S-2DY,Inverter-FRN003F1S-2DY,Inverters,21.5,32,23,4.3600,4.3600,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN003F1S-2U,Inverter-FRN003F1S-2U,Inverters,21.5,32,23,4.2800,4.2800,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN003F1S-4DY,Inverter-FRN003F1S-4DY,Inverters,21.5,32,23,4.4000,4.4000,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN003F1S-4U,Inverter-FRN003F1S-4U,Inverters,21.5,32,23,4.2900,4.2900,0.016,Carton,,4,,,4,,,6,,,12,,,18,,,27,,,,,,36,,,48,,,32,,,48,,,64,,,60,FALSE
FRN003G1S-2U,Inverter-FRN003G1S-2U,Inverters,23.5,33,23.5,4.7730,4.7730,0.018,Carton,,3.8,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
FRN003G1S-4U,Inverter-FRN003G1S-4U,Inverters,23.5,33,23.5,4.5730,4.5730,0.018,Carton,,3.5,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
FRN0040E2S-2A,Inverter-FRN0040E2S-2A,Inverters,25.5,30,25.5,4.6000,4.6000,0.020,Carton,,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0040E2S-2GB,Inverter-FRN0040E2S-2GB,Inverters,25.5,30,25.5,4.4430,4.4430,0.020,Carton,5,5.9,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0040E2S-2GBBM1,Inverter-FRN0040E2S-2GBBM1,Inverters,25.5,30,25.5,4.4470,4.4470,0.020,Carton,,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0040E3S-2G,Inverter-FRN0040E3S-2G,Inverters,25.5,30,25.5,4.5800,4.5800,0.020,Carton,,,,,2,,,4,,,8,,,8,,,16,,,22,,,33,,,,,,26,,,39,,,,,,36,FALSE
FRN0041G2E-4G,Inverter-FRN0041G2E-4G,Inverters,32.5,47,30,12.3680,12.3680,0.046,Carton,,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0041G2E-4GAP,Inverter-FRN0041G2E-4GAP,Inverters,32.5,47,30,12.3200,12.3200,0.046,Carton,,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0041G2S-4G,Inverter-FRN0041G2S-4G,Inverters,32.5,47,30,11.4210,11.4210,0.046,Carton,,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0044E2E-4E,Inverter-FRN0044E2E-4E,Inverters,27,51,33.5,9.1520,9.1520,0.046,Carton,4,12.3,,,,,,1,,,4,,,4,,,6,,,6,,,12,,,18,,,8,,,16,,,24,,,12,FALSE
FRN0044E2S-4A,Inverter-FRN0044E2S-4A,Inverters,30,34,30,6.1300,6.1300,0.031,Carton,,10.9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0044E2S-4E,Inverter-FRN0044E2S-4E,Inverters,30,34,30,6.1130,6.1130,0.031,Carton,6,10.9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0044E2S-4GB,Inverter-FRN0044E2S-4GB,Inverters,30,34,30,6.1910,6.1910,0.031,Carton,6,10.9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0044E2S-4GBBM1,Inverter-FRN0044E2S-4GBBM1,Inverters,30,34,30,6.1730,6.1730,0.031,Carton,7,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0044E3E-4G,Inverter-FRN0044E3E-4G,Inverters,30,51,35,9.4650,9.4650,0.054,Carton Case,,,,,,,,1,,,2,,,4,,,6,,,6,,,12,,,,,,6,,,12,,,,,,12,FALSE
FRN0044E3S-4G,Inverter-FRN0044E3S-4G,Inverters,30,34,30,6.3330,6.3330,0.031,Carton,,,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,27,FALSE
FRN0045F2E-4G,Inverter-FRN0045F2E-4G,Inverters,32.5,47,30,12.0470,12.0470,0.046,Carton,5,12.5,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0045G2E-4G,Inverter-FRN0045G2E-4G,Inverters,32.5,47,30,12.4640,12.4640,0.046,Carton,,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0045G2E-4GAP,Inverter-FRN0045G2E-4GAP,Inverters,32.5,47,30,12.3750,12.3750,0.046,Carton,,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
FRN0045G2S-4G,Inverter-FRN0045G2S-4G,Inverters,32.5,47,30,11.4660,11.4660,0.046,Carton,,,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
