ratioStandard,ratioWarp,mode,product,transportMode,ratioBoxes,returnableTotal,totalPackages,shipment,cartonTotal,siQty,qty,ratioCarton,boxesTotal,packagingBreakdown.warpQty,packagingBreakdown.qty110x110x65,packagingBreakdown.qty110x110x115,packagingBreakdown.qty80x120x90,packagingBreakdown.qty70x100x90,packagingBreakdown.qty80x120x65,packagingBreakdown.qty53x53x58,packagingBreakdown.qty110x110x90,packagingBreakdown.qty80x120x115,packagingBreakdown.qty47x66x68,packagingBreakdown.unitQty,packagingBreakdown.qty42x46x68,packagingBreakdown.qty68x74x86,packagingBreakdown.returnableQty,packagingBreakdown.qty27x27x22,packagingBreakdown.qty57x64x84,packagingBreakdown.qty53x53x19,standardTotal,warpTotal,ratioReturnable,date,customerName,remark,consigneeName,__id,__path,__createTime,__updateTime
1,1.5,VESSEL,INVERTER,VESSEL,0.6666666666666666,0,18,FEA NJ,0,7,157,0,2,15,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,15,0,2024-02-27,FMT,,FEA NJ,0FuJTzXGAQ0SILBUykaa,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0FuJTzXGAQ0SILBUykaa,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
0,0,VESSEL,INVERTER,VESSEL,0.3333333333333333,0,1,FEA NJ,0,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025-05-27,FMT,,FEA NJ,0GDWAH27bdFPRhUTGAV9,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0GDWAH27bdFPRhUTGAV9,2026-03-06T02:44:59.190364Z,2026-03-06T09:16:35.654523Z
27,3.1,VESSEL,INVERTER,VESSEL,1.6666666666666667,0,63,FEI,0,5,2964,0,5,31,0,21,0,3,0,0,6,0,1,0,0,1,0,0,0,0,27,31,0,2026-01-09,FMT,,FEI,0GRkT08zGo2K6c4TQZav,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0GRkT08zGo2K6c4TQZav,2026-03-06T02:44:38.646577Z,2026-03-12T04:43:30.777990Z
9,1.5,AIRCRAFT,INVERTER,AIRCRAFT,5,0,39,FEI,0,22,719,0,15,15,0,7,0,3,0,0,2,0,4,0,6,1,0,0,1,0,9,15,0,2021-05-13,FMT,,FEI,0GfhIEixtzf6vs02oodq,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0GfhIEixtzf6vs02oodq,2026-03-06T02:44:18.832963Z,2026-03-06T09:16:35.654523Z
3,5.6,VESSEL,INVERTER,VESSEL,5.666666666666667,0,76,FAP,0,30,275,0,17,56,1,1,0,7,0,0,1,0,4,0,1,3,0,0,2,0,3,56,0,2023-05-25,FMT,,FAP,0GxADLqCxHCma0FWKxWn,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0GxADLqCxHCma0FWKxWn,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
0,0,COURIER,INVERTER,COURIER,0.3333333333333333,0,1,FAP,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-11-15,FMT,,FAP,0JVob78HBpTRrQgtrDD2,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0JVob78HBpTRrQgtrDD2,2026-03-06T02:44:44.544187Z,2026-03-06T09:16:35.654523Z
0,0,VESSEL,TEMPERATURE CONTROL,VESSEL,0,0,6,FEI,6,4,63,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2022-09-05,FMT,,FEI,0JrzPaQZVUBGpWz4CPmO,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0JrzPaQZVUBGpWz4CPmO,2026-03-06T02:44:35.130684Z,2026-03-06T09:16:35.654523Z
5,0.1,VESSEL,INVERTER,VESSEL,2.6666666666666665,0,14,FEI,0,10,311,0,8,1,2,3,0,1,0,0,0,0,1,0,2,1,0,0,3,0,5,1,0,2023-05-30,FMT,,FEI,0KbkI5Tq9cOAy70vkwf7,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0KbkI5Tq9cOAy70vkwf7,2026-03-06T02:45:00.788854Z,2026-03-06T09:16:35.654523Z
0,0,VESSEL,INVERTER,VESSEL,0,2,2,FEE,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2021-06-23,FMT,,FEE,0Kw1QZ1CrecmXDEP6EUA,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0Kw1QZ1CrecmXDEP6EUA,2026-03-06T02:44:23.365298Z,2026-03-06T09:16:35.654523Z
2,0,AIRCRAFT,INVERTER,AIRCRAFT,0.3333333333333333,0,3,FEE,0,1,25,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2021-03-29,FMT,,FEE,0Lsyd4y7kua45C4v3CY7,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0Lsyd4y7kua45C4v3CY7,2026-03-06T02:44:18.832963Z,2026-03-06T09:16:35.654523Z
5,0.6,AIRCRAFT,INVERTER,AIRCRAFT,1.3333333333333333,0,15,FEE,0,8,606,0,4,6,0,0,2,2,0,0,0,3,0,0,0,0,0,0,2,0,5,6,0,2024-04-04,FMT,,FEE,0ML0LPoGWyY0o9v2680K,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0ML0LPoGWyY0o9v2680K,2026-03-06T02:44:35.130684Z,2026-03-06T09:16:35.654523Z
4,0.7,VESSEL,INVERTER,VESSEL,0,0,11,FAP,0,2,54,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,7,0,2022-09-30,FMT,,FAP,0MjGHDCb08p6HGrKQSyo,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0MjGHDCb08p6HGrKQSyo,2026-03-06T02:45:00.788854Z,2026-03-06T09:16:35.654523Z
0,1.9,VESSEL,INVERTER,VESSEL,2.6666666666666665,16,43,FEE,0,14,1335,0,8,19,0,0,0,1,0,0,0,0,0,0,2,3,16,0,2,0,0,19,8,2021-06-16,FMT,,FEE,0Mp0CwFTqAgED42XOc7S,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0Mp0CwFTqAgED42XOc7S,2026-03-06T02:44:23.365298Z,2026-03-06T09:16:35.654523Z
1,3.2,VESSEL,INVERTER,VESSEL,6.666666666666667,0,53,FAP,0,28,346,0,20,32,0,0,0,12,0,0,1,0,1,0,1,6,0,0,0,0,1,32,0,2023-10-26,FMT,,FAP,0NDWuY9H7uXcLsKaKSBZ,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0NDWuY9H7uXcLsKaKSBZ,2026-03-06T02:44:59.190364Z,2026-03-06T09:16:35.654523Z
0,0,AIRCRAFT,INVERTER,AIRCRAFT,2,0,6,FEID,0,6,35,0,6,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,2022-03-09,FMT,,FEID,0NQh49LBPGydKW8E4VSB,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0NQh49LBPGydKW8E4VSB,2026-03-06T02:44:38.646577Z,2026-03-06T09:16:35.654523Z
0,1.2,VESSEL,INVERTER,VESSEL,0,0,12,FAP,0,4,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2023-12-14,FMT,,FAP,0O0CAJBh7fRHX1SXCylY,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0O0CAJBh7fRHX1SXCylY,2026-03-06T02:44:41.429278Z,2026-03-06T09:16:35.654523Z
3,0,AIRCRAFT,INVERTER,AIRCRAFT,0.6666666666666666,0,5,FEA NJ,0,3,70,0,2,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,0,2023-06-27,FMT,,FEA NJ,0O7jIcTE9Vzq8nRJ5nT2,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0O7jIcTE9Vzq8nRJ5nT2,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
11,1.2,VESSEL,INVERTER,VESSEL,2,0,29,FEA NJ,0,12,461,0,6,12,0,0,7,3,0,0,0,4,2,0,0,1,0,0,0,0,11,12,0,2023-02-15,FMT,,FEA NJ,0OIgsN1egTRecFUVwmrc,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0OIgsN1egTRecFUVwmrc,2026-03-06T02:44:44.544187Z,2026-03-06T09:16:35.654523Z
0,0.1,AIRCRAFT,INVERTER,AIRCRAFT,0,0,1,FEA NJ,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021-10-20,FMT,,FEA NJ,0OjAkle7cOLcyTU4YmaF,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0OjAkle7cOLcyTU4YmaF,2026-03-06T02:44:28.304385Z,2026-03-06T09:16:35.654523Z
0,0,AIRCRAFT,TEMPERATURE CONTROL,AIRCRAFT,0,0,12,FEF,12,8,172,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,2023-06-12,FMT,,FEF,0PQiNbQHsFgxsYq13xTf,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0PQiNbQHsFgxsYq13xTf,2026-03-06T02:44:44.544187Z,2026-03-06T09:16:35.654523Z
0,0,AIRCRAFT,TEMPERATURE CONTROL,AIRCRAFT,0.3333333333333333,0,13,FEF,12,9,279,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,3,0,0,0,2023-08-22,FMT,,FEF,0QaJKbenx6AqrEbtwRN3,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0QaJKbenx6AqrEbtwRN3,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
0,0,AIRCRAFT,TEMPERATURE CONTROL,AIRCRAFT,0,0,8,FEF,8,5,78,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2023-03-28,FMT,,FEF,0RoaN8lx1dqeJmLrmGIU,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0RoaN8lx1dqeJmLrmGIU,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
0,5.9,VESSEL,INVERTER,VESSEL,0,0,59,FEA NJ,0,10,59,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,2023-12-06,FMT,,FEA NJ,0Tt4ZLMSr4k8KACV6PSu,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0Tt4ZLMSr4k8KACV6PSu,2026-03-06T02:44:38.646577Z,2026-03-06T09:16:35.654523Z
4,1.7,VESSEL,INVERTER,VESSEL,2.3333333333333335,0,28,FEA NJ,0,9,497,0,7,17,0,0,0,2,0,0,0,4,1,0,0,1,0,0,3,0,4,17,0,2025-05-26,FMT,,FEA NJ,0UYdowe3DfrrjZu9qHbU,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0UYdowe3DfrrjZu9qHbU,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
0,0.1,VESSEL,INVERTER,VESSEL,1,0,4,FEK,0,2,49,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-03-29,FMT,,FEK,0VHx5vEWc3cfGb2m71Hd,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0VHx5vEWc3cfGb2m71Hd,2026-03-06T02:45:00.788854Z,2026-03-06T09:16:35.654523Z
0,0.9,VESSEL,INVERTER,VESSEL,0,0,9,FEK,0,6,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2021-11-05,FMT,,FEK,0Whv9SA65MhEs8mHbWqz,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0Whv9SA65MhEs8mHbWqz,2026-03-06T02:44:32.424350Z,2026-03-06T09:16:35.654523Z
0,1.2,AIRCRAFT,INVERTER,AIRCRAFT,0,0,12,FAP,0,3,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2022-02-25,FMT,,FAP,0XYqLUE7EVHtADeZXO5F,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0XYqLUE7EVHtADeZXO5F,2026-03-06T02:44:59.190364Z,2026-03-06T09:16:35.654523Z
0,0,AIRCRAFT,TEMPERATURE CONTROL,AIRCRAFT,0.3333333333333333,0,1,FAP,0,1,100,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-31,FMT,,FAP,0XyYKqxTaWozF8egy8LV,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0XyYKqxTaWozF8egy8LV,2026-03-06T02:45:00.788854Z,2026-03-06T09:16:35.654523Z
0,0.1,VESSEL,INVERTER,VESSEL,1.3333333333333333,16,21,FEE,0,8,428,0,4,1,0,0,0,0,0,0,0,0,3,0,0,1,16,0,0,0,0,1,8,2025-07-15,FMT,,FEE,0YvvaAlmbjQ5M7RN7p36,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0YvvaAlmbjQ5M7RN7p36,2026-03-06T02:44:44.544187Z,2026-03-06T09:16:35.654523Z
15,6.6,AIRCRAFT,INVERTER,AIRCRAFT,1.3333333333333333,0,85,FEE,0,13,415,0,4,66,0,0,14,0,0,0,0,1,0,0,0,4,0,0,0,0,15,66,0,2024-03-12,FMT,,FEE,0ZHNr9iCWM2nva6G9OYY,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0ZHNr9iCWM2nva6G9OYY,2026-03-06T02:44:41.429278Z,2026-03-06T09:16:35.654523Z
0,0.4,VESSEL,INVERTER,VESSEL,2.6666666666666665,0,12,FEID,0,9,75,0,8,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,4,0,2024-08-27,FMT,,FEID,0ZjupkSTFXwbgctdZ6l8,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0ZjupkSTFXwbgctdZ6l8,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
3,6.8,VESSEL,INVERTER,VESSEL,1.3333333333333333,0,75,FEA NJ,0,14,200,0,4,68,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,0,3,68,0,2023-10-18,FMT,,FEA NJ,0aUDVPXJkf3mLvwl2vXU,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0aUDVPXJkf3mLvwl2vXU,2026-03-06T02:44:51.240429Z,2026-03-06T09:16:35.654523Z
0,0.5,AIRCRAFT,INVERTER,AIRCRAFT,0,0,5,FEI,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2021-03-16,FMT,,FEI,0bJ4pa9S9rCqhBngdSeq,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0bJ4pa9S9rCqhBngdSeq,2026-03-06T02:44:23.365298Z,2026-03-06T09:16:35.654523Z
0,0,AIRCRAFT,TEMPERATURE CONTROL,AIRCRAFT,0,0,4,FEF,4,4,57,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2022-04-25,FMT,,FEF,0bZMD61LZyb6YsDmHCA3,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0bZMD61LZyb6YsDmHCA3,2026-03-06T02:44:59.190364Z,2026-03-06T09:16:35.654523Z
0,1.4,VESSEL,INVERTER,VESSEL,0,0,14,FEA TWMC,0,3,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2024-03-19,FMT,,FEA TWMC,0bluDTibRUXA2pnIwjU1,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0bluDTibRUXA2pnIwjU1,2026-03-06T02:44:51.240429Z,2026-03-06T09:16:35.654523Z
0,0.1,AIRCRAFT,INVERTER,AIRCRAFT,1,0,4,FEID,0,4,32,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,2021-10-05,FMT,,FEID,0boQe3ZNlVCNxwZGyerT,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0boQe3ZNlVCNxwZGyerT,2026-03-06T02:44:32.424350Z,2026-03-06T09:16:35.654523Z
0,0,VESSEL,INVERTER,VESSEL,0.6666666666666666,0,2,FEA TWMC,0,2,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2021-08-31,FMT,,FEA TWMC,0cPQf97yfDp8djir6XxY,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/0cPQf97yfDp8djir6XxY,2026-03-06T02:44:32.424350Z,2026-03-06T09:16:35.654523Z
