gw,sideBoxWeight,height,updatedAt,length,productType,cbm,name,stackingLimit,lastUpdated,width,sku,nw,packingRules.boxes.47x66x68.perLayer,packingRules.boxes.47x66x68.layers,packingRules.boxes.47x66x68.totalQty,packingRules.boxes.57x64x84.layers,packingRules.boxes.57x64x84.perLayer,packingRules.boxes.57x64x84.totalQty,packingRules.boxes.70x100x90.perLayer,packingRules.boxes.70x100x90.layers,packingRules.boxes.70x100x90.totalQty,packingRules.boxes.68x74x86.layers,packingRules.boxes.68x74x86.perLayer,packingRules.boxes.68x74x86.totalQty,packingRules.rtn.totalQty,packingRules.rtn.perLayer,packingRules.rtn.layers,packingRules.pallets.80x120x115.layers,packingRules.pallets.80x120x115.perLayer,packingRules.pallets.80x120x115.totalQty,packingRules.pallets.80x120x90.perLayer,packingRules.pallets.80x120x90.layers,packingRules.pallets.80x120x90.totalQty,packingRules.pallets.110x110x90.totalQty,packingRules.pallets.110x110x90.perLayer,packingRules.pallets.110x110x90.layers,packingRules.pallets.110x110x115.totalQty,packingRules.pallets.110x110x115.layers,packingRules.pallets.110x110x115.perLayer,packingRules.warp,category,__id,__path,__createTime,__updateTime,packingRules.boxes.42x46x68.totalQty,packingRules.boxes.42x46x68.perLayer,packingRules.boxes.42x46x68.layers,packingRules.pallets.80x120x65.totalQty,packingRules.pallets.80x120x65.perLayer,packingRules.pallets.80x120x65.layers,packingRules.pallets.110x110x65.layers,packingRules.pallets.110x110x65.perLayer,packingRules.pallets.110x110x65.totalQty,unit
4.508,3.8,23.5,2026-02-03T15:16:34.088Z,33,Carton,0.018,Inverter-EQ7-2005-C,8,2026-02-03,23.5,EQ7-2005-C,4.508,0,0,4,0,0,6,0,0,27,0,0,18,0,0,0,0,0,40,,,,,,,,,,False,Inverters,EQ7-2005-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2005-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,2,0,0,,,,,,,
8.471,8.1,34,2026-02-03T15:16:34.088Z,37,Carton,0.039,Inverter-EQ7-2007-C,0,2026-02-03,31,EQ7-2007-C,8.471,0,0,2,0,0,4,0,0,10,0,0,6,0,0,0,,,,0,0,12,,,,,,,False,Inverters,EQ7-2007-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2007-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
8.471,8.1,34,2026-02-03T15:16:34.088Z,37,Carton,0.039,Inverter-EQ7-2010-C,0,2026-02-03,31,EQ7-2010-C,8.471,0,0,2,0,0,4,0,0,10,0,0,6,0,0,0,,,,0,0,12,,,,,,,False,Inverters,EQ7-2010-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2010-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
8.667,8.1,34,2026-02-03T15:16:34.088Z,37,Carton,0.039,Inverter-EQ7-2015-C,0,2026-02-03,31,EQ7-2015-C,8.667,0,0,2,0,0,4,0,0,10,0,0,6,0,0,0,,,,0,0,12,,,,,,,False,Inverters,EQ7-2015-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2015-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
8.142,8.1,34,2026-02-03T15:16:34.088Z,37,Carton,0.039,Inverter-EQ7-2020-C,0,2026-02-03,31,EQ7-2020-C,8.142,0,0,2,0,0,4,0,0,10,0,0,6,0,0,0,,,,0,0,12,,,,,,,False,Inverters,EQ7-2020-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2020-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
13.795,11.3,33,2026-02-03T15:16:34.088Z,50,Carton,0.058,Inverter-EQ7-2025-C,0,2026-02-03,35,EQ7-2025-C,13.795,0,0,1,0,0,2,0,0,6,0,0,4,12,0,0,0,0,12,,,,12,0,0,18,0,0,False,Inverters,EQ7-2025-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2025-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
13.743,11.3,33,2026-02-03T15:16:34.088Z,50,Carton,0.058,Inverter-EQ7-2030-C,0,2026-02-03,35,EQ7-2030-C,13.743,0,0,1,0,0,2,0,0,6,0,0,4,12,0,0,0,0,12,,,,12,0,0,18,0,0,False,Inverters,EQ7-2030-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2030-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
14.348,11.7,33,2026-02-03T15:16:34.088Z,50,Carton,0.058,Inverter-EQ7-2040-C,0,2026-02-03,35,EQ7-2040-C,14.348,0,0,1,0,0,2,0,0,6,0,0,4,12,0,0,0,0,12,,,,12,0,0,18,0,0,False,Inverters,EQ7-2040-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2040-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
40,39.8,53,2026-02-11T16:16:31.118Z,80,Carton Case,0.208,Inverter-EQ7-2050-C,2,2026-02-11,49,EQ7-2050-C,36,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-2050-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2050-C,2026-02-03T15:16:38.401585Z,2026-02-11T16:16:31.151316Z,,,,,,,,,,
45,45,53,2026-02-03T15:16:34.088Z,80,Carton Case,0.208,Inverter-EQ7-2060-C,2,2026-02-03,49,EQ7-2060-C,43,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,True,Inverters,EQ7-2060-C,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/EQ7-2060-C,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
